v1,price,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer
93,"$5,250 ",chicago,chicago W,2008 toyota camry,excellent,4 cylinders,fwd,gas,177000,grey,NA,automatic,sedan,0
94,"$6,750 ",chicago,chicago W,2009 toyota camry,excellent,4 cylinders,fwd,gas,128500,black,NA,automatic,sedan,0
95,"$3,200 ",chicago,chicago W,2011 toyota camry hybrid,good,4 cylinders,fwd,hybrid,350000,white,NA,automatic,sedan,0
96,"$9,995 ",chicago,chicago W,2012 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,105000,white,full-size,automatic,sedan,0
98,"$1,300 ",chicago,chicago W,1994 Toyota Camry,NA,NA,NA,gas,138000,NA,NA,automatic,NA,0
99,"$2,071 ",chicago,chicago W,2010 TOYOTA CAMRY,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
100,"$1,300 ",chicago,chicago W,1993 toyota camry,good,6 cylinders,fwd,gas,151000,NA,NA,automatic,NA,0
101,"$2,071 ",chicago,chicago W,2010 TOYOTA CAMRY,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
102,"$2,799 ",chicago,chicago S,1999 TOYOTA CAMRY,NA,4 cylinders,NA,gas,139745,white,NA,automatic,sedan,1
103,"$2,800 ",chicago,chicago N,1997 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
104,"$3,985 ",chicago,chicago S,1997 toyota camry,excellent,6 cylinders,4wd,gas,101480,NA,NA,automatic,sedan,1
105,"$1,650 ",chicago,chicago city,2002 toyota camry solara,NA,6 cylinders,fwd,gas,160000,black,NA,automatic,NA,0
106,"$2,000 ",chicago,chicago S,1999 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
107,"$2,800 ",chicago,chicago N,1997 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
108,"$4,200 ",chicago,chicago city,2005 toyota camry LE,excellent,6 cylinders,4wd,gas,120451,grey,full-size,automatic,sedan,0
109,"$2,200 ",chicago,chicago city,1993 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
110,"$7,250 ",chicago,chicago W,2009 toyota camry,excellent,4 cylinders,fwd,gas,128500,black,NA,automatic,sedan,0
111,NA,chicago,chicago S,2011 Toyota Camry,excellent,4 cylinders,fwd,gas,NA,green,mid-size,automatic,sedan,1
112,"$2,000 ",chicago,chicago city,2010 toyota camry le,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
113,"$2,900 ",chicago,chicago city,2010 toyota camry hybrid,NA,NA,NA,hybrid,300000,NA,NA,automatic,NA,0
114,"$2,000 ",chicago,chicago suburbs,2000 toyota camry,good,4 cylinders,fwd,gas,202000,NA,full-size,automatic,sedan,0
